kind	mod	server_id	arch	path_role	image_ref	image_digest	file_path	compat_group	icu_role	soname	sha256
detect	plex	plex-1.43.2	linux-x86_64-v2	plex_pms:pristine	-	-	/usr/lib/plexmediaserver/Plex Media Server	-	-	-	22861f0c26767eaa2ce0cfcf697bc14b1870d58079c1089c634a1f454b445597
detect	plex	plex-1.43.2	linux-x86_64-v2	plex_pms:patched	-	-	/usr/lib/plexmediaserver/Plex Media Server	-	-	-	431e5019a3f9062d6f10c5bcea7120bd3b4a0383c747defbde0db7ec7dfb791d
detect	plex	plex-1.43.2	linux-x86_64-v2	plex_scanner:pristine	-	-	/usr/lib/plexmediaserver/Plex Media Scanner	-	-	-	8f12a65001a11953740e78f2f023aa785d5f3caf269da951b7d75b8b45c7785e
detect	plex	plex-1.43.2	linux-x86_64-v2	plex_scanner:patched	-	-	/usr/lib/plexmediaserver/Plex Media Scanner	-	-	-	f0df6e2b0ba0116333fd0e4435e17fb187bb1445d9d103f0ea1339f1ee0a564f
pre	plex	plex-1.43.2	linux-x86_64-v2	target_sqlite	ghcr.io/linuxserver/plex:1.43.2	-	/usr/lib/plexmediaserver/lib/libsqlite3.so	-	-	-	3789c5a7d8282630f70395edad9f99941ac7317c631cc7d5517303e7a2b23138
pre	plex	plex-1.43.2	linux-x86_64-v2	plex_icu_linked:libicuucplex.so.69	ghcr.io/linuxserver/plex:1.43.2	-	/usr/lib/plexmediaserver/lib/libicuucplex.so.69	-	-	-	3ef38b59abc2b1de8337bec9974249da004adbfae5db2320e3988b4b195590a8
pre	plex	plex-1.43.2	linux-x86_64-v2	plex_icu_linked:libicui18nplex.so.69	ghcr.io/linuxserver/plex:1.43.2	-	/usr/lib/plexmediaserver/lib/libicui18nplex.so.69	-	-	-	e1ec29ebb1f9c939e71e0888fcf22aa74cc2a8185dc083df7ef0b92a4893c24c
pre	plex	plex-1.43.2	linux-x86_64-v2	plex_icu_linked:libicudataplex.so.69	ghcr.io/linuxserver/plex:1.43.2	-	/usr/lib/plexmediaserver/lib/libicudataplex.so.69	-	-	-	d010a5dcdfd87a29c780759dd52edc20547805fa8f648b73b6e44ec1fcc70d93
detect	plex	plex-1.43.2	linux-x86_64-v3	plex_pms:pristine	-	-	/usr/lib/plexmediaserver/Plex Media Server	-	-	-	22861f0c26767eaa2ce0cfcf697bc14b1870d58079c1089c634a1f454b445597
detect	plex	plex-1.43.2	linux-x86_64-v3	plex_pms:patched	-	-	/usr/lib/plexmediaserver/Plex Media Server	-	-	-	431e5019a3f9062d6f10c5bcea7120bd3b4a0383c747defbde0db7ec7dfb791d
detect	plex	plex-1.43.2	linux-x86_64-v3	plex_scanner:pristine	-	-	/usr/lib/plexmediaserver/Plex Media Scanner	-	-	-	8f12a65001a11953740e78f2f023aa785d5f3caf269da951b7d75b8b45c7785e
detect	plex	plex-1.43.2	linux-x86_64-v3	plex_scanner:patched	-	-	/usr/lib/plexmediaserver/Plex Media Scanner	-	-	-	f0df6e2b0ba0116333fd0e4435e17fb187bb1445d9d103f0ea1339f1ee0a564f
pre	plex	plex-1.43.2	linux-x86_64-v3	target_sqlite	ghcr.io/linuxserver/plex:1.43.2	-	/usr/lib/plexmediaserver/lib/libsqlite3.so	-	-	-	3789c5a7d8282630f70395edad9f99941ac7317c631cc7d5517303e7a2b23138
pre	plex	plex-1.43.2	linux-x86_64-v3	plex_icu_linked:libicuucplex.so.69	ghcr.io/linuxserver/plex:1.43.2	-	/usr/lib/plexmediaserver/lib/libicuucplex.so.69	-	-	-	3ef38b59abc2b1de8337bec9974249da004adbfae5db2320e3988b4b195590a8
pre	plex	plex-1.43.2	linux-x86_64-v3	plex_icu_linked:libicui18nplex.so.69	ghcr.io/linuxserver/plex:1.43.2	-	/usr/lib/plexmediaserver/lib/libicui18nplex.so.69	-	-	-	e1ec29ebb1f9c939e71e0888fcf22aa74cc2a8185dc083df7ef0b92a4893c24c
pre	plex	plex-1.43.2	linux-x86_64-v3	plex_icu_linked:libicudataplex.so.69	ghcr.io/linuxserver/plex:1.43.2	-	/usr/lib/plexmediaserver/lib/libicudataplex.so.69	-	-	-	d010a5dcdfd87a29c780759dd52edc20547805fa8f648b73b6e44ec1fcc70d93
detect	plex	plex-1.43.2	linux-arm64	plex_pms:pristine	-	-	/usr/lib/plexmediaserver/Plex Media Server	-	-	-	6f6aaac01e0a226310ee5475976d10e39721047fdfa6373249449e1a7eb0cd52
detect	plex	plex-1.43.2	linux-arm64	plex_pms:patched	-	-	/usr/lib/plexmediaserver/Plex Media Server	-	-	-	e1365e6badb8c8acdaab2c637eabd4ebb3f8d1e35890c091becfd43ddccb50b0
detect	plex	plex-1.43.2	linux-arm64	plex_scanner:pristine	-	-	/usr/lib/plexmediaserver/Plex Media Scanner	-	-	-	9ae3a009471f2411a57fb0c29bafd9e2c60592dba56d8282467a1a6c0e7b9332
detect	plex	plex-1.43.2	linux-arm64	plex_scanner:patched	-	-	/usr/lib/plexmediaserver/Plex Media Scanner	-	-	-	0fb7372547fc2928ae6ad99c27277471b1fc771a24e45d779a4b28e04d925d8a
pre	plex	plex-1.43.2	linux-arm64	target_sqlite	ghcr.io/linuxserver/plex:1.43.2	-	/usr/lib/plexmediaserver/lib/libsqlite3.so	-	-	-	e20c6f5424900a891519681b71d50d20cc5ab686c3078a64bc0beddd5de98c06
pre	plex	plex-1.43.2	linux-arm64	plex_icu_linked:libicuucplex.so.69	ghcr.io/linuxserver/plex:1.43.2	-	/usr/lib/plexmediaserver/lib/libicuucplex.so.69	-	-	-	59be39a2fcdcf4d957ac3b253a883aae5f27904b46c4627ddce7a200ce8f818b
pre	plex	plex-1.43.2	linux-arm64	plex_icu_linked:libicui18nplex.so.69	ghcr.io/linuxserver/plex:1.43.2	-	/usr/lib/plexmediaserver/lib/libicui18nplex.so.69	-	-	-	269fcbfaf16816dcfac70331cb1c678dfccec75f17d3c204bf13f00ac9312aab
pre	plex	plex-1.43.2	linux-arm64	plex_icu_linked:libicudataplex.so.69	ghcr.io/linuxserver/plex:1.43.2	-	/usr/lib/plexmediaserver/lib/libicudataplex.so.69	-	-	-	7c891c918022d1ff417e4d17478035d5426b1747dee07a8649a3aea494567dc3
icu-runtime	-	-	linux-x86_64-v2	-	-	-	-	icu69	linked	libicuucplex.so.69	3ef38b59abc2b1de8337bec9974249da004adbfae5db2320e3988b4b195590a8
icu-runtime	-	-	linux-x86_64-v2	-	-	-	-	icu69	linked	libicui18nplex.so.69	e1ec29ebb1f9c939e71e0888fcf22aa74cc2a8185dc083df7ef0b92a4893c24c
icu-runtime	-	-	linux-x86_64-v2	-	-	-	-	icu69	linked	libicudataplex.so.69	d010a5dcdfd87a29c780759dd52edc20547805fa8f648b73b6e44ec1fcc70d93
icu-runtime	-	-	linux-x86_64-v3	-	-	-	-	icu69	linked	libicuucplex.so.69	3ef38b59abc2b1de8337bec9974249da004adbfae5db2320e3988b4b195590a8
icu-runtime	-	-	linux-x86_64-v3	-	-	-	-	icu69	linked	libicui18nplex.so.69	e1ec29ebb1f9c939e71e0888fcf22aa74cc2a8185dc083df7ef0b92a4893c24c
icu-runtime	-	-	linux-x86_64-v3	-	-	-	-	icu69	linked	libicudataplex.so.69	d010a5dcdfd87a29c780759dd52edc20547805fa8f648b73b6e44ec1fcc70d93
icu-runtime	-	-	linux-arm64	-	-	-	-	icu69	linked	libicuucplex.so.69	59be39a2fcdcf4d957ac3b253a883aae5f27904b46c4627ddce7a200ce8f818b
icu-runtime	-	-	linux-arm64	-	-	-	-	icu69	linked	libicui18nplex.so.69	269fcbfaf16816dcfac70331cb1c678dfccec75f17d3c204bf13f00ac9312aab
